Timestamp,Valor Analogico
2025-07-30 22:57:08,473
2025-07-30 22:57:08,483
2025-07-30 22:57:08,476
2025-07-30 22:57:08,453
2025-07-30 22:57:08,423
2025-07-30 22:57:08,392
2025-07-30 22:57:08,365
2025-07-30 22:57:08,341
2025-07-30 22:57:08,325
2025-07-30 22:57:08,317
2025-07-30 22:57:08,319
2025-07-30 22:57:08,329
2025-07-30 22:57:08,342
2025-07-30 22:57:08,351
2025-07-30 22:57:08,355
2025-07-30 22:57:08,358
2025-07-30 22:57:08,357
2025-07-30 22:57:08,347
2025-07-30 22:57:08,303
2025-07-30 22:57:08,308
2025-07-30 22:57:08,349
2025-07-30 22:57:08,322
2025-07-30 22:57:08,332
2025-07-30 22:57:08,368
2025-07-30 22:57:08,337
2025-07-30 22:57:08,326
2025-07-30 22:57:08,367
2025-07-30 22:57:08,336
2025-07-30 22:57:08,317
2025-07-30 22:57:08,345
2025-07-30 22:57:08,353
2025-07-30 22:57:08,323
2025-07-30 22:57:08,363
2025-07-30 22:57:08,365
2025-07-30 22:57:08,299
2025-07-30 22:57:08,337
2025-07-30 22:57:08,363
2025-07-30 22:57:08,331
2025-07-30 22:57:08,342
2025-07-30 22:57:08,406
2025-07-30 22:57:08,345
2025-07-30 22:57:08,297
2025-07-30 22:57:08,361
2025-07-30 22:57:08,363
2025-07-30 22:57:08,326
2025-07-30 22:57:08,371
2025-07-30 22:57:08,380
2025-07-30 22:57:08,344
2025-07-30 22:57:08,358
2025-07-30 22:57:08,373
2025-07-30 22:57:08,348
2025-07-30 22:57:08,340
2025-07-30 22:57:08,376
2025-07-30 22:57:08,341
2025-07-30 22:57:08,342
2025-07-30 22:57:08,379
2025-07-30 22:57:08,360
2025-07-30 22:57:08,355
2025-07-30 22:57:08,377
2025-07-30 22:57:08,366
2025-07-30 22:57:08,344
2025-07-30 22:57:08,393
2025-07-30 22:57:08,381
2025-07-30 22:57:08,332
2025-07-30 22:57:08,389
2025-07-30 22:57:08,396
2025-07-30 22:57:08,332
2025-07-30 22:57:08,349
2025-07-30 22:57:08,408
2025-07-30 22:57:08,359
