Timestamp,Valor Analogico
2025-07-30 23:02:05,628
2025-07-30 23:02:05,625
2025-07-30 23:02:05,611
2025-07-30 23:02:05,594
2025-07-30 23:02:05,581
2025-07-30 23:02:05,569
2025-07-30 23:02:05,556
2025-07-30 23:02:05,541
2025-07-30 23:02:05,523
2025-07-30 23:02:05,503
2025-07-30 23:02:05,486
2025-07-30 23:02:05,474
2025-07-30 23:02:05,470
2025-07-30 23:02:05,474
2025-07-30 23:02:05,483
2025-07-30 23:02:05,497
2025-07-30 23:02:05,510
2025-07-30 23:02:05,515
2025-07-30 23:02:05,486
2025-07-30 23:02:05,443
2025-07-30 23:02:05,481
2025-07-30 23:02:05,499
2025-07-30 23:02:05,467
2025-07-30 23:02:05,487
2025-07-30 23:02:05,514
2025-07-30 23:02:05,471
2025-07-30 23:02:05,484
2025-07-30 23:02:05,498
2025-07-30 23:02:05,474
2025-07-30 23:02:05,457
2025-07-30 23:02:05,511
2025-07-30 23:02:05,490
2025-07-30 23:02:05,462
2025-07-30 23:02:05,511
2025-07-30 23:02:05,495
2025-07-30 23:02:06,447
2025-07-30 23:02:06,509
2025-07-30 23:02:06,528
2025-07-30 23:02:06,471
2025-07-30 23:02:06,504
2025-07-30 23:02:06,511
2025-07-30 23:02:06,474
2025-07-30 23:02:06,497
2025-07-30 23:02:06,542
2025-07-30 23:02:06,469
2025-07-30 23:02:06,505
2025-07-30 23:02:06,549
2025-07-30 23:02:06,527
2025-07-30 23:02:06,459
2025-07-30 23:02:06,521
2025-07-30 23:02:06,527
2025-07-30 23:02:06,474
2025-07-30 23:02:06,534
2025-07-30 23:02:06,543
2025-07-30 23:02:06,500
2025-07-30 23:02:06,525
2025-07-30 23:02:06,545
2025-07-30 23:02:06,492
2025-07-30 23:02:06,501
2025-07-30 23:02:06,562
2025-07-30 23:02:06,525
2025-07-30 23:02:06,510
2025-07-30 23:02:06,550
2025-07-30 23:02:06,528
2025-07-30 23:02:06,494
2025-07-30 23:02:06,558
2025-07-30 23:02:06,549
2025-07-30 23:02:06,498
2025-07-30 23:02:06,535
2025-07-30 23:02:06,572
2025-07-30 23:02:06,541
2025-07-30 23:02:06,552
2025-07-30 23:02:06,585
2025-07-30 23:02:06,515
2025-07-30 23:02:06,528
2025-07-30 23:02:06,570
2025-07-30 23:02:06,528
2025-07-30 23:02:06,532
2025-07-30 23:02:06,589
2025-07-30 23:02:06,557
2025-07-30 23:02:06,522
2025-07-30 23:02:06,586
2025-07-30 23:02:06,566
2025-07-30 23:02:06,549
2025-07-30 23:02:06,577
2025-07-30 23:02:06,580
2025-07-30 23:02:06,528
2025-07-30 23:02:06,576
2025-07-30 23:02:06,591
2025-07-30 23:02:06,529
2025-07-30 23:02:06,537
2025-07-30 23:02:06,589
2025-07-30 23:02:06,559
2025-07-30 23:02:06,555
2025-07-30 23:02:06,600
2025-07-30 23:02:06,564
2025-07-30 23:02:06,541
2025-07-30 23:02:06,595
2025-07-30 23:02:06,587
2025-07-30 23:02:06,551
2025-07-30 23:02:06,582
2025-07-30 23:02:06,584
2025-07-30 23:02:06,536
2025-07-30 23:02:06,568
2025-07-30 23:02:06,602
2025-07-30 23:02:06,554
2025-07-30 23:02:06,553
2025-07-30 23:02:06,599
2025-07-30 23:02:06,560
2025-07-30 23:02:06,552
2025-07-30 23:02:06,595
2025-07-30 23:02:06,568
2025-07-30 23:02:06,540
2025-07-30 23:02:06,586
2025-07-30 23:02:06,552
2025-07-30 23:02:06,533
2025-07-30 23:02:06,581
2025-07-30 23:02:06,590
2025-07-30 23:02:06,522
2025-07-30 23:02:06,551
2025-07-30 23:02:06,575
2025-07-30 23:02:06,541
2025-07-30 23:02:06,558
2025-07-30 23:02:06,586
2025-07-30 23:02:06,542
2025-07-30 23:02:06,550
2025-07-30 23:02:06,604
2025-07-30 23:02:06,586
2025-07-30 23:02:06,539
2025-07-30 23:02:06,595
2025-07-30 23:02:06,569
2025-07-30 23:02:06,545
2025-07-30 23:02:06,559
2025-07-30 23:02:06,589
2025-07-30 23:02:06,526
2025-07-30 23:02:06,559
2025-07-30 23:02:06,586
2025-07-30 23:02:06,544
2025-07-30 23:02:06,545
2025-07-30 23:02:06,603
2025-07-30 23:02:06,554
2025-07-30 23:02:06,536
2025-07-30 23:02:06,602
2025-07-30 23:02:06,584
2025-07-30 23:02:06,517
2025-07-30 23:02:06,558
2025-07-30 23:02:06,582
2025-07-30 23:02:06,558
2025-07-30 23:02:06,576
2025-07-30 23:02:06,595
2025-07-30 23:02:06,552
2025-07-30 23:02:06,557
2025-07-30 23:02:06,592
2025-07-30 23:02:06,561
2025-07-30 23:02:06,556
2025-07-30 23:02:06,605
2025-07-30 23:02:06,565
2025-07-30 23:02:06,553
